Model,BoW Accuracy,BoW Macro F1,TF-IDF Accuracy,TF-IDF Macro F1,TF-IDF+SVD Accuracy,TF-IDF+SVD Macro F1,BERT Accuracy,BERT Macro F1,BERT+PCA Accuracy,BERT+PCA Macro F1
logreg,0.868,0.8684308586525472,0.884,0.8843376666566581,0.8645,0.8645813389282014,0.883,0.8842602848076893,0.8795,0.880398821445988
svm_linear,0.8195,0.8200582664640179,0.888,0.8885494025484946,0.862,0.8621530355012701,0.873,0.874192538124334,0.8765,0.8773316251257494
svm_rbf,0.88,0.8802858551242847,0.891,0.8914560699846117,0.874,0.8740479640215747,0.889,0.8899751560654455,0.8945,0.895358606293129
knn,0.5525,0.5533317025364702,0.836,0.8362223548593544,0.785,0.7837255771592572,0.872,0.8732964490324062,0.874,0.875201908690845
kmeans,0.298,0.21025610225132024,0.351,0.3124687428129529,0.38,0.32355654004974094,0.6555,0.6742980103759726,0.8045,0.8087001225631174
